Title:,"Time Series, Area-Averaged of Ground water storage daily 0.25 deg. [GLDAS Model (daily)"
User Start Date:,2023-11-01T00:00:00Z
User End Date:,2023-11-30T23:59:59Z
User Bounding Box:,"-119,33,-116,35"
Data Bounding Box:,"-118.875,33.125,-116.125,34.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2023-11-01T00:00:00Z&endtime=2023-11-30T23:59:59Z&bbox=-119,33,-116,35&data=GLDAS_CLSM025_DA1_D_2_2_GWS_tavg&dataKeyword=ground%20water%20storage&portal=GIOVANNI&format=json"
Fill Value (mean_GLDAS_CLSM025_DA1_D_2_2_GWS_tavg):, -9999

time, mean_GLDAS_CLSM025_DA1_D_2_2_GWS_tavg
2023-11-01,466.98822
2023-11-02,466.810486
2023-11-03,466.628387
2023-11-04,466.443359
2023-11-05,466.256775
2023-11-06,466.069672
2023-11-07,465.88324
2023-11-08,465.71167
2023-11-09,465.556213
2023-11-10,465.399231
2023-11-11,465.239014
2023-11-12,465.078064
2023-11-13,464.91507
2023-11-14,464.75119
2023-11-15,464.591125
2023-11-16,465.040497
2023-11-17,466.206329
2023-11-18,467.263336
2023-11-19,468.38382
2023-11-20,469.431274
2023-11-21,470.253204
2023-11-22,470.835846
2023-11-23,471.23468
2023-11-24,471.522675
2023-11-25,471.816376
2023-11-26,472.086029
2023-11-27,472.282562
2023-11-28,472.416168
2023-11-29,472.505859
2023-11-30,469.057617
